time,open,high,low,close,Volume,Volume MA
1313668800,10.9,10.9,10.9,10.9,0.48990826,NaN
1313755200,11.85,11.85,11.15,11.69,1.92657814,NaN
1313841600,11.7,11.7,11.7,11.7,0.08547009,NaN
1313928000,11.7,11.7,11.7,11.7,0.08547009,NaN
1313985600,11.7,11.7,11.7,11.7,0.02863249,NaN
1314187200,11.5,11.5,10.5,10.5,2.35652174,NaN
1314288000,10,10,10,10,1.1,NaN
1314720000,8,8,8,8,1,NaN
1314849600,8,8,8,8,11,NaN
1314864000,8,8.31,5.25,8.09,98.12,NaN
1314878400,8,8.21,7.99,8.18,31.66,NaN
1314892800,8.22,8.26,8.22,8.22,23.7,NaN
1314936000,8.12,8.31,8,8.26,44.45,NaN
1314950400,8.24,8.88,8.24,8.88,35.31,NaN
1315137600,8.89,8.89,8.89,8.89,0.20022497,NaN
1315310400,8,8,8,8,21,NaN
1315382400,8.5,8.5,8.5,8.5,2.88235294,NaN
1315396800,8.5,8.5,8.5,8.5,0.11764706,NaN
1315512000,7.98,7.98,7.4,7.4,6.86,NaN
1315915200,5.8,6,5.65,5.65,49.89598238,16.613439408
1315929600,5.92,5.97,5.92,5.97,8.4754,17.012713995000002
1315972800,5.58,5.62,5.54,5.62,16.42569962,17.737670069
1315987200,5.57,5.72,5.52,5.52,42.682984,19.8675457645
1316001600,5.52,5.53,5.52,5.53,2.0373,19.96513726
1316073600,5.12,5.12,5,5,50.5465832,22.4910347955
1316088000,5.21,5.24,5.13,5.13,29.594212,23.8529193085
1316145600,4.82,4.82,4.82,4.82,9.885546,24.292196608499996
1316160000,4.8,4.8,4.8,4.8,0.3,24.257196608499996
1316174400,4.87,4.87,4.87,4.87,24.589,24.936646608499995
1316188800,4.85,4.85,4.85,4.85,5.1394608,20.287619648499994
1316260800,4.87,4.87,4.87,4.87,0.3,18.719619648499993
1316332800,4.87,4.87,4.82,4.82,19.33213362,18.501226329499993
1316347200,4.81,4.81,4.81,4.81,30.2214,17.789796329499996
1316361600,4.85,4.85,4.81,4.82,50.37926638,18.543259648499994
1316376000,4.92,4.92,4.92,4.92,19.88,19.527248399999994
1316433600,4.9,4.9,4.9,4.9,20,19.477248399999993
1316491200,4.92,4.92,4.92,4.92,15.666688,20.116465152999996
1316505600,4.93,5.56,4.93,5.55,48.0480377,22.512984684999996
1316520000,5.42,5.56,5.42,5.56,11.59143805,22.749556587499995
1316534400,5.57,5.66,5.57,5.66,13.97454693,20.953484814999992
1316577600,5.7,5.7,5.7,5.7,11.88932238,21.124180933999995
1316606400,5.79,5.79,5.79,5.79,0.44,20.324895952999995
1316620800,5.79,5.79,5.66,5.66,5.3,18.455746752999996
1316664000,5.68,5.68,5.68,5.68,21.88932238,19.448347871999996
1316678400,5.68,5.7,5.68,5.7,4.7251,17.157273712
1316692800,5.72,5.72,5.72,5.72,17.164,16.535763111999994
1316764800,5.7,5.72,5.7,5.72,20.68003681,17.075487652499994
1316851200,5.7,5.74,5.7,5.74,41.748138,19.147894552499995
1316865600,5.75,5.76,5.75,5.76,18.66692833,18.851790968999996
1316880000,5.7,5.7,5.68,5.68,30.172,20.103417928999995
1316952000,6.05,6.05,6.05,6.05,0.43,20.109917928999998
1316980800,6.05,6.05,6.05,6.05,11.79,19.732811247999997
1317009600,6.06,6.06,6.06,6.06,18.123844,19.127933448
1317024000,6.05,6.05,6.05,6.05,2.98,16.757970129
1317052800,6.05,6.05,4.8,4.8,18.47461934,16.687701096
1317110400,4.85,4.92,4.85,4.92,24.3545,16.905426096000003
1317182400,4.9,4.91,4.9,4.91,27.572,17.500691696
1317196800,4.85,4.87,4.85,4.85,30.9568888,16.646134251
1317211200,4.82,4.82,4.82,4.82,24.524437,17.292784198499998
1317268800,4.81,4.82,4.81,4.81,23.8855,17.788331852
1317283200,4.81,4.82,4.81,4.82,23.079,18.347815732999997
1317614400,4.85,4.87,4.83,4.87,30.57595,19.854613233
1317700800,4.86,4.86,4.85,4.85,41.7923,21.679228232999996
1317715200,4.82,5.3,4.8,4.8,33.22,22.245762113999994
1317729600,4.89,5,4.89,4.98,67.50932238,25.384973232999997
1317801600,4.92,6.25,4.8,4.8,53.72,27.212773232999997
1317830400,4.89,4.92,4.89,4.92,60,29.178771392499993
1317888000,4.88,4.96,4.86,4.9,72.193,30.70101449249999
1317902400,4.89,4.99,4.89,4.99,5.43,30.03916807599999
1317916800,4.99,4.99,4.95,4.97,70.410501,32.051093125999984
1317931200,4.8,4.8,4.8,4.8,22.81004837,33.170095544499986
1317960000,4.8,4.81,4.67,4.67,45.37,34.84909554449999
1317974400,4.59,4.65,4.59,4.65,33.27,35.60640334449999
1318017600,4.59,4.61,4.59,4.61,16,36.25740334449999
1318060800,4.57,4.57,4.5,4.5,46.8398464,37.67566469749998
1318089600,4.5,4.5,3.99,3.99,9.1601536,36.91594737749998
1318147200,3.89,3.89,3.89,3.89,11,36.08734737749998
1318262400,3.99,4.51,3.99,4.51,132.5,41.16450293749998
1318334400,3.98,4.1,3.98,4.1,78.08,43.842281087499984
1318420800,3.95,3.99,3.93,3.93,79.523525,46.62418233749999
1318507200,3.93,3.96,3.93,3.96,78.98712,49.41958833749999
1318536000,3.97,3.97,3.97,3.97,30.634646,49.42252313749999
1318579200,4.05,4.05,4.05,4.05,96.97751266,52.18178377049999
1318824000,3.92,3.92,3.92,3.92,10.24,51.03278377049999
1319097600,2.22,2.27,2.22,2.27,43.463982,49.830516751499985
1319140800,2.29,2.29,2.24,2.24,18.50835,48.06993425149999
1319169600,2.22,2.23,2.22,2.23,29.46334066,46.54310128449998
1319184000,2.27,2.27,2.27,2.27,12,43.53345128449998
1319443200,2.99,2.99,2.92,2.92,64.54,46.48895128449998
1319529600,2.66,2.72,2.66,2.72,130.29932366,49.483392417499985
1319630400,2.72,3,2.67,2.69,268.2689727,61.75633863399999
1319774400,3.07,3.07,3.07,3.07,45.98897266,61.78728726699999
1319832000,4.36,4.36,4.2,4.2,72.3889,63.74323226699998
1319875200,3.69,4.4,3.69,4.4,53.432425,65.61485351699999
1319918400,4,4,3.95,3.95,35,65.02286119699998
1319961600,3.85,3.85,3.85,3.85,51.432425,67.13647476699998
1319976000,3.82,3.82,3.82,3.82,9.5,67.06147476699998
1319990400,3.2,3.2,3.2,3.2,1,60.48647476699998
1320004800,3.3,3.5,3.3,3.5,54.44897,59.30492326699998
1320033600,3.25,3.25,3.2,3.2,3.5,55.50374701699998
1320048000,3.22,3.55,3.22,3.55,35.54404308,53.33159317099997
1320076800,3.3,3.3,3.3,3.3,29.95,53.29736087099998
1320148800,3.32,3.33,3.32,3.33,38.7771206,50.38734126799998
1320393600,3.27,3.27,3.27,3.27,46.29816032,52.19024928399998
1320408000,3.35,3.4,3.35,3.35,27.068653,51.370482833999986
1320422400,3.35,3.35,3.35,3.35,4.95,50.69256533399999
1320436800,3.35,3.55,3.21,3.55,38.76422535,51.157609568499986
1320480000,3.21,3.21,3.21,3.21,10,51.057609568499984
1320494400,3.21,3.21,3.05,3.05,67.048,51.18300956849999
1320508800,3.05,3.05,3,3,26.464,45.99124338549999
1320595200,2.95,2.95,2.95,2.95,203.388,42.74719475049999
1320739200,3.08,3.08,3.08,3.08,47.47212389,42.821352311999995
1320825600,3.09,3.09,3.09,3.09,20,40.20190731199999
1320840000,3.2,3.3,3.2,3.3,18.32816815,38.446694469499995
1320854400,3.22,3.3,3.22,3.3,20.532352,37.72331206949999
1320926400,3.25,3.25,3.25,3.25,49.47212389,37.625297014
1320940800,3.3,3.3,2.95,2.95,52.48922501,39.774758264499994
1320955200,3.3,3.3,3.3,3.3,19.70642424,40.7100794765
1320998400,3.3,3.3,3.3,3.3,65.434,41.259330976499996
1321128000,3.35,3.35,3.35,3.35,2.79,41.2238309765
1321171200,3.35,3.35,3.35,3.35,29.48955224,40.92110643449999
1321257600,2.95,2.95,2.95,2.95,1,39.473606434499985
1321272000,2.87,2.87,2.87,2.87,8,37.93475040449999
1321286400,2.85,2.85,2.79,2.79,108,41.01984238849999
1321300800,2.79,2.79,2.47,2.47,66.4,42.98640973849999
1321315200,2.99,2.99,2.99,2.99,3.70568562,42.924194019499986
1321358400,2.99,2.99,2.99,2.99,20,41.98598275199999
1321372800,3,3,3,3,2.61333333,41.61664941849999
1321387200,2.51,2.51,2.5,2.5,71.02259285,41.815379060999994
1321444800,2.51,3,2.51,3,5.61666667,40.773012394499986
1321516800,3,3,3,3,2.51,30.729112394499985
1321531200,2.5,2.99,2.5,2.99,14.50862876,29.080937637999984
1321617600,2.5,2.5,2.5,2.5,14.78,28.81993763799998
1321632000,2.5,2.79,2.5,2.5,73.66,31.58652923049998
1321660800,2.5,2.5,2.5,2.5,1,30.609911630499983
1321675200,2.5,2.5,2.43,2.43,32.87212355,29.77991161349998
1321704000,2.43,2.43,2.43,2.43,15,27.90545036299998
1321819200,2.37,2.37,2.37,2.37,11,27.470129150999973
1321876800,2.45,2.5,2.45,2.5,42,26.298429150999976
1321891200,3,3,2.25,2.25,248.52677579,38.585267940499975
1321963200,2.53,2.59,2.53,2.59,22.926875,38.25713407849998
1321977600,2.46,2.46,2.46,2.46,300.4004478,53.227156468499984
1321992000,2.59,2.59,2.59,2.59,5.16602317,53.08545762699998
1322150400,2.54,3,2.54,3,4.8346088,47.92718806699998
1322164800,3,3,3,3,4.31,44.82268806699998
1322179200,2.5,4.39,2.5,4.39,101.89666667,49.73223711949997
1322208000,15,15,15,15,1.724,48.818437119499976
1322236800,2.7,2.7,2.7,2.7,5.16296296,48.945918600999974
1322251200,2.76,2.76,2.7,2.75,71.00363636,48.94497077649997
1322265600,2.77,2.77,2.77,2.77,10.09025271,49.168650078499965
1322452800,2.67,2.67,2.67,2.67,20,50.04315007849997
1322467200,2.78,2.78,2.78,2.78,56.90647482,52.16304238149998
1322481600,2.67,2.67,2.67,2.67,4.46067416,51.647076089499976
1322496000,2.66,2.66,2.66,2.66,99,52.914076089499986
1322524800,2.69,2.69,2.69,2.69,25.23932584,54.126042381499985
1322568000,3.22,3.23,3.22,3.23,8.22532298,52.893702352999995
1322582400,2.72,2.72,2.72,2.72,29,53.59370235299999
1322640000,3.19,3.19,3.19,3.19,14.53918495,53.77066160049999
1322740800,3.46,3.46,3.46,3.46,14.37861272,52.38959223649999
1322755200,3.46,3.48,3.3,3.3,142.97332986,47.11191993999999
1322769600,3.3,3.42,3.3,3.42,76.4280909,49.786980735
1322784000,3.45,3.45,3.45,3.45,10,35.266958345
1322798400,3.08,3.08,3.08,3.08,0.4,35.0286571865
1322812800,3.13,3.13,3.13,3.13,109.2144564,40.2476495665
1322827200,3.09,3.09,3.09,3.09,3.25,40.194649566500004
1322841600,3.04,3.04,3.04,3.04,8.89258382,35.544445424
1322942400,2.93,2.93,2.93,2.93,0.5,35.483245424
1323057600,2.82,2.82,2.82,2.82,4.23,35.436597276
1323072000,2.99,2.99,2.89,2.89,149.1324256,39.34303673800001
1323100800,2.92,2.95,2.92,2.93,54.00084,41.53856610250001
1323144000,2.9,2.9,2.89,2.89,17.1685304,41.39699262250001
1323158400,3.09,3.09,2.97,3.03,158.7799085,46.490664306500015
1323187200,2.99,3.25,2.99,3,39.79315781,48.25728848900001
1323201600,2.98,2.98,2.98,2.98,0.36769231,43.32567310450001
1323216000,3.05,3.06,3.05,3.06,99.41424356,47.034418990500015
1323230400,3.06,3.06,3.06,3.06,10,47.123152841500016
1323244800,3.06,3.35,3.06,3.35,24.08712516,46.87750909950002
1323259200,3.35,3.35,3.35,3.35,59.10873518,49.10598661100001
1323273600,3.34,3.34,3.34,3.34,21.06886228,49.440499089000014
