Date,Open,High,Low,Close,Volume,N. Trades
2017-12-18 00:00:00,18860.04000000,18897.16000000,17800.10000000,17849.98000000,14375513.16286251,6074
2017-12-18 01:00:00,17810.00000000,18294.00000000,17029.98000000,18142.32000000,24297033.70007583,10799
2017-12-18 02:00:00,18142.32000000,18695.00000000,18000.00000000,18238.94000000,13141619.69108497,5457
2017-12-18 03:00:00,18189.98000000,18640.00000000,18189.98000000,18570.03000000,7453044.14411542,3699
2017-12-18 04:00:00,18560.03000000,18988.00000000,18556.22000000,18700.11000000,8062686.24821906,3598
2017-12-18 05:00:00,18700.11000000,18974.51000000,18659.79000000,18920.15000000,7661861.89823794,4003
2017-12-18 06:00:00,18920.15000000,19006.61000000,18806.74000000,18939.94000000,6689710.02049322,3012
2017-12-18 07:00:00,18939.97000000,18949.00000000,18510.00000000,18576.99000000,6742276.72229893,2747
2017-12-18 08:00:00,18576.99000000,19046.00000000,18575.99000000,18901.43000000,7278950.92727129,3465
2017-12-18 09:00:00,18901.95000000,18996.22000000,18510.00000000,18680.48000000,7261050.12330652,3629
2017-12-18 10:00:00,18680.48000000,18975.50000000,18656.98000000,18753.31000000,5404029.25002659,2954
2017-12-18 11:00:00,18753.31000000,19200.10000000,18731.00000000,19126.66000000,7906947.78707890,3854
2017-12-18 12:00:00,19116.11000000,19300.00000000,19100.02000000,19161.00000000,4637857.61884583,2018
2017-12-18 13:00:00,19161.00000000,19201.00000000,18111.65000000,18606.00000000,8177681.23744464,3679
2017-12-18 14:00:00,18649.98000000,18674.98000000,18021.98000000,18548.06000000,12084585.81857720,6470
2017-12-18 15:00:00,18548.04000000,18888.00000000,18500.11000000,18670.00000000,7474857.99263638,2985
2017-12-18 16:00:00,18670.00000000,18749.99000000,18431.09000000,18469.40000000,6454475.05144499,2819
2017-12-18 17:00:00,18469.00000000,18690.00000000,18313.00000000,18634.00000000,7008194.74217091,3148
2017-12-18 18:00:00,18600.02000000,18705.00000000,18100.20000000,18260.94000000,6966971.21251241,3372
2017-12-18 19:00:00,18260.94000000,18600.00000000,18220.00000000,18590.00000000,6041029.90558665,2705
2017-12-18 20:00:00,18590.00000000,18635.40000000,18447.40000000,18588.05000000,5128718.27377808,3101
2017-12-18 21:00:00,18588.05000000,18699.99000000,18501.04000000,18551.96000000,4933539.47152268,2440
2017-12-18 22:00:00,18551.96000000,18700.00000000,18465.39000000,18680.00000000,4498468.92764013,2640
2017-12-18 23:00:00,18700.00000000,18900.00000000,18664.46000000,18856.25000000,6658141.81796688,3288
2017-12-19 00:00:00,18856.25000000,18950.00000000,18522.66000000,18720.00000000,6715417.68398748,3866
2017-12-19 01:00:00,18720.00000000,18800.00000000,18500.00000000,18545.77000000,7395427.50814329,3000
2017-12-19 02:00:00,18545.75000000,18700.00000000,18500.00000000,18630.00000000,7358887.91140865,3933
2017-12-19 03:00:00,18635.00000000,18799.88000000,18500.00000000,18729.17000000,7330929.01557048,3765
2017-12-19 04:00:00,18729.17000000,18850.00000000,18620.14000000,18690.98000000,5570276.72033279,2832
2017-12-19 05:00:00,18685.49000000,18750.00000000,18607.59000000,18694.09000000,5386594.40816823,2247
2017-12-19 06:00:00,18690.02000000,18750.00000000,18510.00000000,18540.00000000,7475463.26123556,3387
2017-12-19 07:00:00,18538.13000000,18674.80000000,18501.00000000,18562.01000000,3825376.82207015,3160
2017-12-19 08:00:00,18569.52000000,18650.02000000,18545.11000000,18620.01000000,6292816.18680588,2568
2017-12-19 09:00:00,18620.02000000,18695.20000000,18165.99000000,18234.89000000,9298289.11561344,4418
2017-12-19 10:00:00,18259.40000000,18259.40000000,16300.00000000,16852.00000000,31550960.70346844,15372
2017-12-19 11:00:00,16890.00000000,17800.00000000,16550.22000000,17250.00000000,21139362.96680381,11082
2017-12-19 12:00:00,17214.20000000,17900.00000000,17100.00000000,17550.50000000,14430433.41090172,6158
2017-12-19 13:00:00,17550.50000000,17946.57000000,17399.98000000,17440.00000000,11880806.03532496,5070
2017-12-19 14:00:00,17440.00000000,17450.00000000,16555.00000000,16575.02000000,14504542.50994648,6212
2017-12-19 15:00:00,16575.02000000,17292.00000000,16565.00000000,17164.85000000,13188511.82793052,5868
2017-12-19 16:00:00,17164.83000000,17772.61000000,17110.02000000,17772.61000000,9879878.79564099,4481
2017-12-19 17:00:00,17774.96000000,18050.00000000,17750.01000000,17889.94000000,8794041.40344319,4260
2017-12-19 18:00:00,17889.95000000,18185.18000000,17700.00000000,17912.02000000,4757422.97896976,2741
2017-12-19 19:00:00,17912.02000000,17947.94000000,17536.76000000,17622.26000000,3641406.34064811,2716
2017-12-19 20:00:00,17622.23000000,17753.76000000,17115.54000000,17327.56000000,3690207.27587940,2903
2017-12-19 21:00:00,17327.56000000,17383.28000000,16566.00000000,16575.00000000,14980518.74409702,7473
2017-12-19 22:00:00,16575.00000000,17107.25000000,16500.00000000,16659.98000000,8997970.33884924,5393
2017-12-19 23:00:00,16659.98000000,17400.01000000,16620.00000000,17295.20000000,4705083.95812706,3664
2017-12-20 00:00:00,17295.20000000,17295.20000000,14777.66000000,16143.25000000,28668527.41733432,17864
2017-12-20 01:00:00,16157.09000000,16255.29000000,15080.00000000,16145.46000000,21694149.90495260,13458
2017-12-20 02:00:00,16094.64000000,17231.52000000,15750.00000000,17200.00000000,20080209.02082398,10806
2017-12-20 03:00:00,17200.00000000,17200.00000000,16588.00000000,16700.35000000,11173737.27286286,5636
2017-12-20 04:00:00,16700.34000000,16838.55000000,16390.57000000,16755.98000000,7768785.08181549,4854
2017-12-20 05:00:00,16758.00000000,16779.98000000,16185.20000000,16300.00000000,9292218.06619036,4217
2017-12-20 06:00:00,16300.00000000,16386.61000000,15806.09000000,16195.97000000,13757262.64537214,7329
2017-12-20 07:00:00,16195.98000000,16740.00000000,16000.00000000,16354.17000000,9968101.18672007,4983
2017-12-20 08:00:00,16360.00000000,17000.78000000,16300.00000000,16954.98000000,8985782.56479142,3807
2017-12-20 09:00:00,16960.02000000,17000.10000000,16700.00000000,16903.22000000,9052399.88747011,3661
2017-12-20 10:00:00,16910.95000000,17450.00000000,16894.38000000,17241.62000000,9756938.24484625,5173
2017-12-20 11:00:00,17241.62000000,17448.00000000,16900.00000000,17253.00000000,4422392.03144221,3664
2017-12-20 12:00:00,17253.00000000,17720.35000000,17200.00000000,17689.99000000,6576961.40000893,3759
2017-12-20 13:00:00,17689.00000000,17689.00000000,16720.04000000,16891.00000000,8043492.78093284,5167
2017-12-20 14:00:00,16901.35000000,17250.01000000,16858.01000000,17021.00000000,5571870.57492590,3703
2017-12-20 15:00:00,17045.93000000,17132.99000000,16321.00000000,16505.00000000,6647152.37416105,3798
2017-12-20 16:00:00,16540.00000000,16543.90000000,16000.00000000,16200.02000000,9375233.30250672,5753
2017-12-20 17:00:00,16200.02000000,16970.00000000,16200.02000000,16856.86000000,6563192.05257251,4109
2017-12-20 18:00:00,16898.41000000,16939.48000000,16568.00000000,16800.00000000,3367633.49720610,2190
2017-12-20 19:00:00,16800.00000000,16896.05000000,16401.00000000,16782.00000000,3421110.12688409,2811
2017-12-20 20:00:00,16782.05000000,16900.00000000,16519.04000000,16800.01000000,3188341.78364115,3117
2017-12-20 21:00:00,16800.01000000,16823.29000000,16100.00000000,16280.00000000,3654150.18399001,2783
2017-12-20 22:00:00,16280.70000000,16474.00000000,15830.13000000,16311.17000000,6227318.78629612,4156
2017-12-20 23:00:00,16342.71000000,16600.00000000,16070.00000000,16488.98000000,3936932.31449168,2964
2017-12-21 00:00:00,16480.52000000,16859.02000000,16400.00000000,16802.99000000,6842846.12909514,3683
2017-12-21 01:00:00,16809.45000000,16809.47000000,16400.01000000,16629.47000000,12060041.86118367,4972
2017-12-21 02:00:00,16550.59000000,16800.00000000,16500.01000000,16525.31000000,10065219.01581107,4060
2017-12-21 03:00:00,16529.13000000,16990.99000000,16375.29000000,16901.03000000,11047139.83512092,4452
2017-12-21 04:00:00,16901.03000000,17050.00000000,16808.50000000,16900.00000000,5407653.40169842,4080
