,t,v
0,1438214400,0
1,1438300800,0
2,1438387200,0
3,1438473600,0
4,1438560000,0
5,1438646400,0
6,1438732800,0
7,1438819200,0
8,1438905600,1085
9,1438992000,800
10,1439078400,731
11,1439164800,997
12,1439251200,2339
13,1439337600,904
14,1439424000,1273
15,1439510400,1592
16,1439596800,1309
17,1439683200,1202
18,1439769600,1249
19,1439856000,1294
20,1439942400,1349
21,1440028800,1166
22,1440115200,1423
23,1440201600,1413
24,1440288000,1569
25,1440374400,1436
26,1440460800,1576
27,1440547200,1527
28,1440633600,1590
29,1440720000,1530
30,1440806400,1375
31,1440892800,1624
32,1440979200,1514
33,1441065600,1551
34,1441152000,1514
35,1441238400,1447
36,1441324800,1446
37,1441411200,1476
38,1441497600,1585
39,1441584000,1631
40,1441670400,1540
41,1441756800,1543
42,1441843200,1539
43,1441929600,1701
44,1442016000,1543
45,1442102400,1598
46,1442188800,1622
47,1442275200,1486
48,1442361600,1509
49,1442448000,1516
50,1442534400,1459
51,1442620800,1367
52,1442707200,1466
53,1442793600,1520
54,1442880000,1533
55,1442966400,1732
56,1443052800,1568
57,1443139200,1536
58,1443225600,1420
59,1443312000,1414
60,1443398400,1545
61,1443484800,1532
62,1443571200,1490
63,1443657600,1472
64,1443744000,1375
65,1443830400,1389
66,1443916800,1393
67,1444003200,1395
68,1444089600,1415
69,1444176000,1373
70,1444262400,1330
71,1444348800,1366
72,1444435200,1266
73,1444521600,1300
74,1444608000,1327
75,1444694400,1475
76,1444780800,1565
77,1444867200,1496
78,1444953600,1366
79,1445040000,1353
80,1445126400,1340
81,1445212800,1450
82,1445299200,1311
83,1445385600,1520
84,1445472000,1386
85,1445558400,1502
86,1445644800,1635
87,1445731200,1494
88,1445817600,1648
89,1445904000,1694
90,1445990400,1699
91,1446076800,1971
92,1446163200,2208
93,1446249600,1976
94,1446336000,2128
95,1446422400,2031
96,1446508800,2063
97,1446595200,2038
98,1446681600,1911
99,1446768000,1802
100,1446854400,2058
101,1446940800,2262
102,1447027200,2060
103,1447113600,1822
104,1447200000,2033
105,1447286400,1805
106,1447372800,1804
107,1447459200,1794
108,1447545600,1758
109,1447632000,1864
110,1447718400,1901
111,1447804800,1859
112,1447891200,1862
113,1447977600,1763
114,1448064000,1710
115,1448150400,2015
116,1448236800,1738
117,1448323200,1820
118,1448409600,1709
119,1448496000,1804
120,1448582400,1660
121,1448668800,1651
122,1448755200,1666
123,1448841600,1782
124,1448928000,1762
125,1449014400,1673
126,1449100800,1755
127,1449187200,1741
128,1449273600,1713
129,1449360000,2001
130,1449446400,1952
131,1449532800,1753
132,1449619200,1747
133,1449705600,1778
134,1449792000,1784
135,1449878400,2152
136,1449964800,1960
137,1450051200,2177
138,1450137600,2164
139,1450224000,2150
140,1450310400,2402
141,1450396800,2184
142,1450483200,2187
143,1450569600,2207
144,1450656000,2312
145,1450742400,2311
146,1450828800,2215
147,1450915200,2234
148,1451001600,2158
149,1451088000,2282
150,1451174400,2214
151,1451260800,2422
152,1451347200,2392
153,1451433600,2360
154,1451520000,2578
155,1451606400,2350
156,1451692800,2410
157,1451779200,2454
158,1451865600,2537
159,1451952000,2533
160,1452038400,2645
161,1452124800,2683
162,1452211200,2610
163,1452297600,2624
164,1452384000,2797
165,1452470400,2950
166,1452556800,2985
167,1452643200,2815
168,1452729600,2751
169,1452816000,3123
170,1452902400,2662
171,1452988800,2578
172,1453075200,3050
173,1453161600,2844
174,1453248000,3349
175,1453334400,2900
176,1453420800,2976
177,1453507200,3408
178,1453593600,3820
179,1453680000,4035
180,1453766400,4326
181,1453852800,4051
182,1453939200,4459
183,1454025600,4313
184,1454112000,4335
185,1454198400,4390
186,1454284800,4194
187,1454371200,4161
188,1454457600,4325
189,1454544000,4077
190,1454630400,4697
191,1454716800,3836
192,1454803200,4053
193,1454889600,4492
194,1454976000,4755
195,1455062400,6029
196,1455148800,7678
197,1455235200,6480
198,1455321600,6064
199,1455408000,5542
200,1455494400,5680
201,1455580800,5680
202,1455667200,5726
203,1455753600,5531
204,1455840000,5524
205,1455926400,5224
206,1456012800,6281
207,1456099200,6000
208,1456185600,6043
209,1456272000,6031
210,1456358400,6599
211,1456444800,5922
212,1456531200,5917
213,1456617600,6495
214,1456704000,7113
215,1456790400,7653
216,1456876800,8541
217,1456963200,9058
218,1457049600,8973
219,1457136000,10056
220,1457222400,9723
221,1457308800,8041
222,1457395200,9468
223,1457481600,9247
224,1457568000,9809
225,1457654400,9475
226,1457740800,9979
227,1457827200,10160
228,1457913600,10419
229,1458000000,10362
230,1458086400,9643
231,1458172800,10279
232,1458259200,10754
233,1458345600,9578
234,1458432000,10071
235,1458518400,10316
236,1458604800,9765
237,1458691200,10090
238,1458777600,10061
239,1458864000,10022
240,1458950400,9844
241,1459036800,10646
242,1459123200,10791
243,1459209600,12247
244,1459296000,12342
245,1459382400,11282
246,1459468800,10943
247,1459555200,10753
248,1459641600,10808
249,1459728000,11653
250,1459814400,12088
251,1459900800,11866
252,1459987200,11746
253,1460073600,11561
254,1460160000,11973
255,1460246400,12823
256,1460332800,12055
257,1460419200,12593
258,1460505600,12899
259,1460592000,12314
260,1460678400,11835
261,1460764800,11883
262,1460851200,12504
263,1460937600,12483
264,1461024000,12426
265,1461110400,12673
266,1461196800,12669
267,1461283200,12799
268,1461369600,12583
269,1461456000,12690
270,1461542400,13177
271,1461628800,13364
272,1461715200,13224
273,1461801600,12983
274,1461888000,14976
275,1461974400,19611
276,1462060800,14479
277,1462147200,17567
278,1462233600,14860
279,1462320000,14505
280,1462406400,14744
281,1462492800,14554
282,1462579200,14178
283,1462665600,14755
284,1462752000,15260
285,1462838400,15268
286,1462924800,16717
287,1463011200,17089
288,1463097600,18465
289,1463184000,16621
290,1463270400,16064
291,1463356800,15238
292,1463443200,16863
293,1463529600,19489
294,1463616000,18314
295,1463702400,17280
296,1463788800,16620
297,1463875200,15530
298,1463961600,18092
299,1464048000,17235
300,1464134400,17693
301,1464220800,24287
302,1464307200,19744
303,1464393600,25544
304,1464480000,18706
305,1464566400,17487
306,1464652800,18200
307,1464739200,17471
308,1464825600,17310
309,1464912000,16840
310,1464998400,16484
311,1465084800,16415
312,1465171200,17397
313,1465257600,17181
314,1465344000,17766
315,1465430400,17185
316,1465516800,17659
317,1465603200,14553
318,1465689600,18465
319,1465776000,21140
320,1465862400,21319
321,1465948800,19187
322,1466035200,17828
323,1466121600,26354
324,1466208000,24486
325,1466294400,21456
326,1466380800,20532
327,1466467200,20608
328,1466553600,22393
329,1466640000,18940
330,1466726400,19518
331,1466812800,17609
332,1466899200,21197
333,1466985600,18432
334,1467072000,20213
335,1467158400,18991
336,1467244800,19106
337,1467331200,18562
338,1467417600,19145
339,1467504000,18775
340,1467590400,19737
341,1467676800,19608
342,1467763200,18924
343,1467849600,19130
344,1467936000,19837
345,1468022400,19173
346,1468108800,19159
347,1468195200,18932
348,1468281600,19651
349,1468368000,17205
350,1468454400,19786
351,1468540800,19457
352,1468627200,18610
353,1468713600,16013
354,1468800000,17847
355,1468886400,25044
356,1468972800,22493
357,1469059200,21039
358,1469145600,23004
359,1469232000,20878
360,1469318400,26637
361,1469404800,23698
362,1469491200,29171
363,1469577600,27063
364,1469664000,23671
365,1469750400,21494
366,1469836800,20187
367,1469923200,21040
368,1470009600,21222
369,1470096000,19826
370,1470182400,22237
371,1470268800,21438
372,1470355200,20380
373,1470441600,19228
374,1470528000,19742
375,1470614400,19703
376,1470700800,21974
377,1470787200,20357
378,1470873600,21918
379,1470960000,19469
380,1471046400,19010
381,1471132800,19163
382,1471219200,19558
383,1471305600,20519
384,1471392000,19652
385,1471478400,19246
386,1471564800,19604
387,1471651200,19362
388,1471737600,19692
389,1471824000,19699
390,1471910400,21158
391,1471996800,19573
392,1472083200,21100
393,1472169600,19665
394,1472256000,19491
395,1472342400,19818
396,1472428800,20768
397,1472515200,19899
398,1472601600,21425
399,1472688000,21651
400,1472774400,21064
401,1472860800,19971
402,1472947200,19893
403,1473033600,19944
404,1473120000,20349
405,1473206400,19309
406,1473292800,22067
407,1473379200,20191
408,1473465600,19816
409,1473552000,20428
410,1473638400,20870
411,1473724800,20394
412,1473811200,20026
413,1473897600,20788
414,1473984000,21062
415,1474070400,20895
416,1474156800,19311
417,1474243200,20815
418,1474329600,24152
419,1474416000,20483
420,1474502400,17285
421,1474588800,17889
422,1474675200,18289
423,1474761600,17628
424,1474848000,17398
425,1474934400,17141
426,1475020800,18540
427,1475107200,17889
428,1475193600,17196
429,1475280000,19349
430,1475366400,19982
431,1475452800,18278
432,1475539200,15561
433,1475625600,16294
434,1475712000,16683
435,1475798400,19006
436,1475884800,18750
437,1475971200,19060
438,1476057600,20207
439,1476144000,17375
440,1476230400,11622
441,1476316800,9196
442,1476403200,15787
443,1476489600,12309
444,1476576000,14286
445,1476662400,16627
446,1476748800,20390
447,1476835200,14025
448,1476921600,20543
449,1477008000,22984
450,1477094400,18578
451,1477180800,17409
452,1477267200,18471
453,1477353600,18391
454,1477440000,18388
455,1477526400,18303
456,1477612800,18200
457,1477699200,16895
