Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades
1523937600000,0.25551000,0.28800000,0.24800000,0.25698000,29567756.16000000,1523951999999,7770295.89939850,17419
1523952000000,0.25636000,0.26200000,0.25229000,0.26129000,10304292.91000000,1523966399999,2638549.12706790,7218
1523966400000,0.26097000,0.26660000,0.25400000,0.25570000,10148285.89000000,1523980799999,2625651.77603400,6895
1523980800000,0.25570000,0.25800000,0.24800000,0.25067000,10342675.00000000,1523995199999,2615560.33531670,6097
1523995200000,0.25067000,0.25500000,0.23983000,0.24260000,7099283.28000000,1524009599999,1761766.43376250,4939
1524009600000,0.24260000,0.25100000,0.24201000,0.24785000,3393835.57000000,1524023999999,842598.55910030,2751
1524024000000,0.24783000,0.25275000,0.24309000,0.25072000,5572521.92000000,1524038399999,1386287.51011340,3735
1524038400000,0.25071000,0.25400000,0.24716000,0.24999000,3615960.23000000,1524052799999,901892.41335090,2380
1524052800000,0.25037000,0.25490000,0.24628000,0.24887000,5928312.94000000,1524067199999,1487863.45609130,4277
1524067200000,0.24924000,0.25958000,0.24885000,0.25569000,4655328.97000000,1524081599999,1183012.32131870,3378
1524081600000,0.25569000,0.26460000,0.25499000,0.26200000,8162136.16000000,1524095999999,2120480.02306870,5163
1524096000000,0.26199000,0.27500000,0.26040000,0.27136000,11394578.32000000,1524110399999,3056206.86062400,7342
1524110400000,0.27136000,0.27216000,0.25800000,0.26200000,12480193.39000000,1524124799999,3315347.65178440,6349
1524124800000,0.26200000,0.26635000,0.25777000,0.26382000,5702914.64000000,1524139199999,1496419.52647120,3644
1524139200000,0.26387000,0.27250000,0.26326000,0.26892000,8492977.69000000,1524153599999,2279807.84028360,5736
1524153600000,0.26889000,0.27500000,0.26850000,0.26906000,7616977.80000000,1524167999999,2067255.80312530,5364
1524168000000,0.26900000,0.27200000,0.26801000,0.27004000,5172338.38000000,1524182399999,1394870.21750020,4165
1524182400000,0.27004000,0.28500000,0.26915000,0.27852000,13745175.02000000,1524196799999,3826041.41761020,9241
1524196800000,0.27843000,0.28041000,0.26648000,0.27700000,11987441.36000000,1524211199999,3278686.21422150,7140
1524211200000,0.27730000,0.28650000,0.27023000,0.28509000,9776106.48000000,1524225599999,2741024.80077420,6577
1524225600000,0.28509000,0.29102000,0.28343000,0.28494000,10433668.29000000,1524239999999,2996281.20452800,6902
1524240000000,0.28494000,0.29827000,0.28437000,0.29744000,11038239.27000000,1524254399999,3229054.08733980,7136
1524254400000,0.29743000,0.30442000,0.29105000,0.30108000,14103646.07000000,1524268799999,4199799.97903980,9510
1524268800000,0.30161000,0.30700000,0.28769000,0.29700000,17555561.59000000,1524283199999,5178061.85049640,10718
1524283200000,0.29699000,0.30248000,0.29518000,0.29576000,12378814.42000000,1524297599999,3703677.33886570,7160
1524297600000,0.29564000,0.29580000,0.26509000,0.27700000,30001383.58000000,1524311999999,8383326.19598710,17564
1524312000000,0.27700000,0.29187000,0.27409000,0.29039000,14903648.77000000,1524326399999,4199860.20653800,7870
1524326400000,0.29044000,0.29400000,0.27750000,0.28285000,11019797.58000000,1524340799999,3143397.83129970,7184
1524340800000,0.28279000,0.28849000,0.27590000,0.28668000,6860636.97000000,1524355199999,1931066.70402270,4760
1524355200000,0.28669000,0.28718000,0.27716000,0.28120000,6860091.84000000,1524369599999,1931128.53663830,4525
1524369600000,0.28122000,0.28751000,0.27890000,0.28550000,6182292.13000000,1524383999999,1748113.58599400,3766
1524384000000,0.28553000,0.29730000,0.28501000,0.29155000,12238139.31000000,1524398399999,3566628.32724250,7797
1524398400000,0.29198000,0.29379000,0.28251000,0.29032000,11063959.93000000,1524412799999,3201843.48243080,6810
1524412800000,0.29006000,0.29236000,0.28650000,0.28700000,6001553.33000000,1524427199999,1737841.24030480,4330
1524427200000,0.28729000,0.28980000,0.28013000,0.28160000,6347791.92000000,1524441599999,1809929.23420120,4284
1524441600000,0.28160000,0.28675000,0.28064000,0.28362000,4031858.11000000,1524455999999,1143539.51103860,2905
1524456000000,0.28366000,0.28700000,0.28070000,0.28589000,5958273.89000000,1524470399999,1689328.45550410,4691
1524470400000,0.28589000,0.28867000,0.28330000,0.28616000,8412411.73000000,1524484799999,2406049.81196440,5269
1524484800000,0.28650000,0.28850000,0.28411000,0.28509000,6189880.03000000,1524499199999,1769990.69353250,3826
1524499200000,0.28520000,0.28668000,0.28156000,0.28263000,5335829.52000000,1524513599999,1517862.43647970,3153
1524513600000,0.28253000,0.28855000,0.28112000,0.28788000,4413007.57000000,1524527999999,1262013.30824170,2851
1524528000000,0.28798000,0.29999000,0.28593000,0.29738000,15433606.49000000,1524542399999,4556185.18988340,9808
1524542400000,0.29738000,0.30195000,0.29401000,0.29540000,11412090.51000000,1524556799999,3403869.35854400,7996
1524556800000,0.29540000,0.31240000,0.29540000,0.31120000,12151139.72000000,1524571199999,3684125.21000100,7503
1524571200000,0.31120000,0.32000000,0.29829000,0.31159000,25902543.06000000,1524585599999,8017219.18115610,16227
1524585600000,0.31172000,0.31989000,0.30900000,0.31889000,13225200.82000000,1524599999999,4171000.37650570,8862
1524600000000,0.31890000,0.31950000,0.30500000,0.30853000,12401479.19000000,1524614399999,3896164.95326250,8943
1524614400000,0.30850000,0.31099000,0.28080000,0.28100000,24658431.34000000,1524628799999,7401221.19602240,16115
1524628800000,0.28100000,0.29135000,0.26500000,0.28931000,28460613.60000000,1524643199999,8020602.99950270,15411
1524643200000,0.28931000,0.29098000,0.26534000,0.27686000,21397098.20000000,1524657599999,5859268.30948540,12475
1524657600000,0.27646000,0.28299000,0.25730000,0.27402000,25994983.48000000,1524671999999,6970133.81522160,14579
1524672000000,0.27427000,0.28154000,0.26681000,0.27500000,11282355.32000000,1524686399999,3101523.34724870,8101
1524686400000,0.27500000,0.28708000,0.26512000,0.26870000,12895028.32000000,1524700799999,3582531.24962430,8932
1524700800000,0.26870000,0.27231000,0.25500000,0.26604000,15736537.30000000,1524715199999,4166920.18880570,8988
1524715200000,0.26806000,0.27900000,0.26701000,0.27315000,10711638.05000000,1524729599999,2927237.29066920,8376
1524729600000,0.27315000,0.27630000,0.26225000,0.27380000,10568729.75000000,1524743999999,2857597.86948550,7623
1524744000000,0.27377000,0.27900000,0.27114000,0.27600000,10795482.00000000,1524758399999,2972765.97833660,7528
1524758400000,0.27575000,0.28257000,0.27425000,0.27820000,7957454.96000000,1524772799999,2225001.24567600,6168
1524772800000,0.27820000,0.29390000,0.27820000,0.29326000,12339783.20000000,1524787199999,3554540.88708010,8298
1524787200000,0.29326000,0.29396000,0.28400000,0.28527000,9839756.10000000,1524801599999,2853692.98568590,6740
1524801600000,0.28442000,0.29165000,0.28145000,0.28844000,7131799.76000000,1524815999999,2050906.52862180,4903
1524816000000,0.28846000,0.29500000,0.28845000,0.29290000,10498153.32000000,1524830399999,3070321.00480950,5963
1524830400000,0.29290000,0.30643000,0.29101000,0.29758000,18151197.11000000,1524844799999,5429457.08277580,11597
1524844800000,0.29758000,0.30544000,0.29306000,0.29368000,11108717.32000000,1524859199999,3338365.32546230,8258
1524859200000,0.29322000,0.29709000,0.28210000,0.28445000,13051698.25000000,1524873599999,3761572.35554980,8672
1524873600000,0.28440000,0.30063000,0.28170000,0.30015000,11846754.32000000,1524887999999,3465551.90512920,6394
1524888000000,0.30015000,0.30985000,0.29651000,0.30845000,17485111.12000000,1524902399999,5318358.74022320,10233
1524902400000,0.30844000,0.31745000,0.30425000,0.31251000,18545602.80000000,1524916799999,5783810.87359150,12030
1524916800000,0.31251000,0.34780000,0.31213000,0.34500000,52007099.72000000,1524931199999,17382470.62297560,29965
1524931200000,0.34500000,0.36498000,0.34482000,0.35580000,44546473.14000000,1524945599999,15820548.97476730,28374
1524945600000,0.35580000,0.36450000,0.34106000,0.35676000,24506835.13000000,1524959999999,8636646.61084740,16621
1524960000000,0.35675000,0.38660000,0.35659000,0.37415000,37926034.38000000,1524974399999,14257562.54144200,24696
1524974400000,0.37410000,0.38525000,0.36600000,0.38050000,24580151.44000000,1524988799999,9268321.20069840,16035
1524988800000,0.38030000,0.38141000,0.34150000,0.35447000,47236758.94000000,1525003199999,16806849.87199820,25935
1525003200000,0.35447000,0.37199000,0.35447000,0.36772000,28870842.85000000,1525017599999,10490016.29758900,18434
1525017600000,0.36772000,0.36812000,0.35193000,0.36604000,14325814.87000000,1525031999999,5176236.14065440,10224
1525032000000,0.36604000,0.36787000,0.36100000,0.36254000,9900619.51000000,1525046399999,3608373.42947000,7743
1525046400000,0.36251000,0.36370000,0.34000000,0.34100000,20227383.13000000,1525060799999,7147809.79397440,15648
1525060800000,0.34100000,0.35800000,0.33706000,0.34134000,19574278.00000000,1525075199999,6761486.23172800,12977
1525075200000,0.34134000,0.35700000,0.33280000,0.35500000,18901918.05000000,1525089599999,6550796.53953420,15313
1525089600000,0.35542000,0.35689000,0.34550000,0.35126000,11297072.44000000,1525103999999,3955800.73738980,9203
1525104000000,0.35150000,0.35498000,0.34435000,0.34559000,9307080.36000000,1525118399999,3255658.74926740,7701
1525118400000,0.34522000,0.34744000,0.33000000,0.34145000,13834883.41000000,1525132799999,4666686.05671260,10722
1525132800000,0.34145000,0.34199000,0.31870000,0.32173000,32463784.08000000,1525147199999,10527933.83959030,16470
1525147200000,0.32115000,0.34300000,0.32000000,0.33787000,14470581.61000000,1525161599999,4781841.10715900,8585
1525161600000,0.33756000,0.35900000,0.33421000,0.34093000,25321414.19000000,1525175999999,8811834.95331860,15407
1525176000000,0.34003000,0.34290000,0.33166000,0.33735000,16675168.68000000,1525190399999,5623026.08450500,9853
1525190400000,0.33776000,0.35950000,0.33714000,0.35374000,18237446.69000000,1525204799999,6407364.00834700,11736
1525204800000,0.35351000,0.36034000,0.35181000,0.35504000,13200326.50000000,1525219199999,4707084.00292140,9198
1525219200000,0.35498000,0.36000000,0.34500000,0.35307000,10338309.32000000,1525233599999,3636339.68308520,9477
1525233600000,0.35259000,0.35827000,0.35023000,0.35480000,5676231.14000000,1525247999999,2008927.60722750,5539
1525248000000,0.35415000,0.36995000,0.35170000,0.36507000,15705515.60000000,1525262399999,5698217.39941180,12622
1525262400000,0.36587000,0.37339000,0.35840000,0.37328000,15045680.41000000,1525276799999,5494675.36615130,10963
1525276800000,0.37297000,0.37429000,0.36512000,0.36661000,11449168.80000000,1525291199999,4230714.31017150,8832
1525291200000,0.36661000,0.37586000,0.36650000,0.37199000,7242781.02000000,1525305599999,2690424.36256530,7233
1525305600000,0.37199000,0.38850000,0.36801000,0.38231000,16296401.67000000,1525319999999,6157131.24305750,13618
1525320000000,0.38231000,0.38600000,0.36863000,0.37318000,15474445.14000000,1525334399999,5838622.65115760,12967
1525334400000,0.37320000,0.37500000,0.36402000,0.36918000,11326241.66000000,1525348799999,4183980.10563000,8935
1525348800000,0.36916000,0.37860000,0.36842000,0.37135000,17585442.02000000,1525363199999,6555528.29047320,12042
1525363200000,0.37149000,0.37490000,0.36500000,0.37403000,19373945.43000000,1525377599999,7188343.30274080,14096
1525377600000,0.37403000,0.37500000,0.36530000,0.36716000,8269933.73000000,1525391999999,3060350.33094530,6853
1525392000000,0.36683000,0.36897000,0.35576000,0.35842000,13704538.24000000,1525406399999,4982389.30772060,10284
1525406400000,0.35842000,0.36702000,0.35842000,0.36284000,9304796.40000000,1525420799999,3374684.69297850,6004
1525420800000,0.36251000,0.36650000,0.35772000,0.36076000,8161379.97000000,1525435199999,2960135.96372140,6914
1525435200000,0.36077000,0.36349000,0.34654000,0.34856000,11408125.75000000,1525449599999,4038730.24353520,9487
1525449600000,0.34856000,0.36600000,0.34650000,0.36245000,10128481.50000000,1525463999999,3629215.18272700,8034
1525464000000,0.36245000,0.36495000,0.35717000,0.35800000,3361947.51000000,1525478399999,1213896.39314350,3486
1525478400000,0.35840000,0.37081000,0.35771000,0.36636000,8772710.58000000,1525492799999,3207534.85679240,6445
1525492800000,0.36592000,0.36972000,0.36320000,0.36446000,7988505.85000000,1525507199999,2932137.72745690,4877
1525507200000,0.36489000,0.36750000,0.36192000,0.36703000,7038607.77000000,1525521599999,2563570.09751890,6174
1525521600000,0.36757000,0.37434000,0.36312000,0.37293000,11541998.88000000,1525535999999,4256575.66393360,10559
1525536000000,0.37293000,0.37340000,0.36443000,0.36637000,6818964.50000000,1525550399999,2506885.49317330,5786
1525550400000,0.36601000,0.36654000,0.36001000,0.36502000,4801902.70000000,1525564799999,1745259.56135600,3868
1525564800000,0.36502000,0.36641000,0.35756000,0.35809000,9703323.20000000,1525579199999,3507866.75242110,6905
1525579200000,0.35809000,0.36099000,0.33977000,0.35088000,20919549.99000000,1525593599999,7282040.74481530,12534
1525593600000,0.35086000,0.35120000,0.33718000,0.34071000,14494215.95000000,1525607999999,4957515.80794980,10042
1525608000000,0.34071000,0.34700000,0.33538000,0.34181000,10555745.61000000,1525622399999,3605914.45597760,7918
1525622400000,0.34168000,0.34894000,0.34111000,0.34280000,5605311.78000000,1525636799999,1937450.44720040,5624
1525636800000,0.34311000,0.34658000,0.34105000,0.34654000,2648721.63000000,1525651199999,912012.01874100,2613
1525651200000,0.34599000,0.34740000,0.29100000,0.32475000,23434347.12000000,1525665599999,7587394.78742930,16002
1525665600000,0.32488000,0.32994000,0.32021000,0.32366000,7960041.78000000,1525679999999,2593333.58847770,5437
1525680000000,0.32287000,0.33155000,0.32001000,0.32525000,8895433.76000000,1525694399999,2894606.17136170,6377
1525694400000,0.32525000,0.32970000,0.31630000,0.32540000,10736131.22000000,1525708799999,3463415.90220560,7195
1525708800000,0.32550000,0.33796000,0.32521000,0.33678000,7252534.21000000,1525723199999,2399319.03681750,5540
1525723200000,0.33678000,0.33799000,0.32600000,0.33046000,5782450.70000000,1525737599999,1917198.36430950,5348
1525737600000,0.33079000,0.34559000,0.33050000,0.34248000,10600096.60000000,1525751999999,3613174.94284690,8232
1525752000000,0.34248000,0.34250000,0.33114000,0.33612000,5347236.68000000,1525766399999,1798126.78967870,5424
1525766400000,0.33649000,0.33795000,0.32051000,0.32101000,9686285.19000000,1525780799999,3176714.36623470,8049
1525780800000,0.32112000,0.32698000,0.31630000,0.32685000,10905730.45000000,1525795199999,3489444.79393200,6985
1525795200000,0.32682000,0.32700000,0.31799000,0.32600000,5302904.18000000,1525809599999,1713406.56337580,4148
1525809600000,0.32600000,0.32863000,0.32155000,0.32213000,3262758.91000000,1525823999999,1061115.05172240,3551
1525824000000,0.32213000,0.32355000,0.30100000,0.30318000,14511225.97000000,1525838399999,4497292.63922550,10748
1525838400000,0.30354000,0.30899000,0.29800000,0.30474000,11550961.56000000,1525852799999,3513360.51292770,7492
1525852800000,0.30474000,0.32000000,0.30374000,0.31485000,12513021.74000000,1525867199999,3914191.39938770,7433
1525867200000,0.31485000,0.32127000,0.31266000,0.31800000,10141214.40000000,1525881599999,3222229.69576710,6291
1525881600000,0.31800000,0.32547000,0.31637000,0.31794000,7011222.40000000,1525895999999,2246288.96506910,5491
1525896000000,0.31794000,0.32084000,0.31655000,0.31884000,4907903.17000000,1525910399999,1563838.00784910,3169
1525910400000,0.31884000,0.32210000,0.31222000,0.31430000,5760277.96000000,1525924799999,1829485.55411160,5612
1525924800000,0.31430000,0.31896000,0.31210000,0.31489000,4511958.25000000,1525939199999,1424084.04684880,4672
1525939200000,0.31462000,0.31627000,0.31200000,0.31439000,3682577.01000000,1525953599999,1157096.92126470,3081
1525953600000,0.31492000,0.31927000,0.30788000,0.31760000,6814123.86000000,1525967999999,2150835.50554000,4618
1525968000000,0.31763000,0.31822000,0.30258000,0.30353000,8824356.02000000,1525982399999,2713249.29112960,8332
1525982400000,0.30351000,0.30609000,0.29100000,0.29121000,8617228.14000000,1525996799999,2574310.74277260,7354
1525996800000,0.29121000,0.29349000,0.28197000,0.28640000,19303487.64000000,1526011199999,5553532.61740850,11024
1526011200000,0.28644000,0.29198000,0.25218000,0.26044000,29074575.09000000,1526025599999,7856130.58554620,17137
1526025600000,0.26091000,0.27307000,0.25260000,0.25446000,32088600.09000000,1526039999999,8441689.59274490,18716
1526040000000,0.25414000,0.27200000,0.24880000,0.26355000,32696708.38000000,1526054399999,8493473.66121100,18581
1526054400000,0.26310000,0.27387000,0.26303000,0.26901000,11975905.59000000,1526068799999,3217076.70834850,11169
1526068800000,0.26906000,0.27000000,0.25030000,0.25573000,16135599.88000000,1526083199999,4154202.08588790,11253
1526083200000,0.25574000,0.26585000,0.25502000,0.25805000,8279966.70000000,1526097599999,2164127.16690640,7065
1526097600000,0.25805000,0.26087000,0.23402000,0.24709000,28012695.70000000,1526111999999,6837896.73132300,16370
1526112000000,0.24708000,0.27260000,0.23804000,0.26563000,37505200.14000000,1526126399999,9750551.24152140,18038
1526126400000,0.26558000,0.27898000,0.25401000,0.25736000,43808208.09000000,1526140799999,11664395.40430440,16851
1526140800000,0.25736000,0.27500000,0.25084000,0.26212000,16644250.53000000,1526155199999,4288226.47640370,9933
1526155200000,0.26258000,0.26806000,0.25561000,0.26550000,11641301.02000000,1526169599999,3050557.07341800,7464
1526169600000,0.26497000,0.26900000,0.25604000,0.26300000,12257020.37000000,1526183999999,3202772.16622760,7275
1526184000000,0.26300000,0.26600000,0.25600000,0.26392000,6806181.97000000,1526198399999,1784074.60105240,4904
1526198400000,0.26392000,0.27074000,0.25909000,0.26634000,11678491.68000000,1526212799999,3104643.52379890,7386
1526212800000,0.26634000,0.27870000,0.26541000,0.27802000,14652532.01000000,1526227199999,3978245.21109510,8692
1526227200000,0.27826000,0.28500000,0.27130000,0.27605000,23013298.97000000,1526241599999,6408792.06957160,12842
1526241600000,0.27605000,0.28333000,0.27500000,0.27718000,12406863.52000000,1526255999999,3468414.83539790,6870
1526256000000,0.27718000,0.27815000,0.25751000,0.25947000,19635220.10000000,1526270399999,5239656.58437950,11522
1526270400000,0.25947000,0.26315000,0.25480000,0.26056000,13441921.20000000,1526284799999,3487387.91650460,6576
1526284800000,0.26056000,0.26572000,0.25710000,0.26203000,10516820.53000000,1526299199999,2751809.57557650,6592
1526299200000,0.26230000,0.27500000,0.25123000,0.27375000,28269874.84000000,1526313599999,7504114.91212420,14944
1526313600000,0.27375000,0.27457000,0.26800000,0.27165000,6829109.70000000,1526327999999,1850410.37962670,4594
1526328000000,0.27169000,0.27719000,0.26271000,0.26655000,12580120.27000000,1526342399999,3378491.38917830,7915
1526342400000,0.26631000,0.27143000,0.26406000,0.26780000,4404451.08000000,1526356799999,1176365.53722070,3876
1526356800000,0.26752000,0.27453000,0.26701000,0.27400000,5919730.93000000,1526371199999,1606738.95601140,4365
1526371200000,0.27345000,0.27500000,0.26800000,0.27152000,7229515.81000000,1526385599999,1961488.17304950,5435
1526385600000,0.27157000,0.27351000,0.25893000,0.26105000,13169005.15000000,1526399999999,3479469.31955210,7627
1526400000000,0.26115000,0.26303000,0.25500000,0.25954000,7850583.13000000,1526414399999,2036325.46149180,5185
1526414400000,0.25963000,0.26200000,0.25130000,0.25394000,6909025.82000000,1526428799999,1771702.45484830,4773
1526428800000,0.25394000,0.25580000,0.23700000,0.24178000,18071964.50000000,1526443199999,4389557.75087560,9271
1526443200000,0.24178000,0.24649000,0.24008000,0.24264000,7113417.97000000,1526457599999,1728901.59101370,4751
1526457600000,0.24264000,0.25390000,0.24000000,0.24780000,8798316.30000000,1526471999999,2173126.12732730,5687
1526472000000,0.24802000,0.25014000,0.23859000,0.24394000,10388386.85000000,1526486399999,2531561.75703470,6091
1526486400000,0.24394000,0.24736000,0.24190000,0.24310000,4242135.44000000,1526500799999,1037118.99366770,3165
1526500800000,0.24250000,0.25269000,0.24203000,0.25237000,3792136.92000000,1526515199999,939060.66002290,2786
1526515200000,0.25237000,0.26054000,0.25003000,0.25369000,10271340.07000000,1526529599999,2626235.81533500,6784
1526529600000,0.25369000,0.25498000,0.24700000,0.24822000,5607922.32000000,1526543999999,1412324.85997320,3835
1526544000000,0.24780000,0.25261000,0.24604000,0.25089000,4029684.64000000,1526558399999,1004442.45313070,3562
1526558400000,0.25090000,0.25299000,0.24829000,0.25111000,4626895.54000000,1526572799999,1161294.40845970,2907
1526572800000,0.25060000,0.25218000,0.24290000,0.24437000,7098224.42000000,1526587199999,1754664.75759770,4285
1526587200000,0.24437000,0.24670000,0.23666000,0.23919000,8534645.81000000,1526601599999,2054530.64359490,5532
1526601600000,0.23915000,0.24000000,0.23037000,0.23548000,13612542.40000000,1526615999999,3182385.06304960,7177
1526616000000,0.23546000,0.24024000,0.23394000,0.23849000,5885386.75000000,1526630399999,1399784.00579910,4403
1526630400000,0.23864000,0.24162000,0.23700000,0.23769000,5821829.44000000,1526644799999,1395159.26717540,3726
1526644800000,0.23769000,0.23857000,0.23300000,0.23630000,6490296.99000000,1526659199999,1529534.37365850,4835
1526659200000,0.23675000,0.24500000,0.23504000,0.24341000,6560453.27000000,1526673599999,1575034.67995090,4494
1526673600000,0.24321000,0.24499000,0.24090000,0.24324000,3691377.96000000,1526687999999,897820.93885870,3047
1526688000000,0.24382000,0.24500000,0.23850000,0.23991000,4481591.80000000,1526702399999,1081328.51762100,3607
1526702400000,0.23991000,0.24162000,0.23580000,0.23659000,3155186.76000000,1526716799999,754986.02079420,2658
1526716800000,0.23634000,0.24400000,0.23582000,0.24344000,3492268.24000000,1526731199999,838849.62820440,2364
1526731200000,0.24346000,0.24750000,0.24310000,0.24459000,10596704.45000000,1526745599999,2592811.73506770,5249
1526745600000,0.24463000,0.24600000,0.24255000,0.24416000,4785699.57000000,1526759999999,1168081.06103310,2162
1526760000000,0.24465000,0.24677000,0.23905000,0.24116000,6095698.64000000,1526774399999,1469784.58992380,2929
1526774400000,0.24151000,0.24343000,0.23832000,0.24139000,3385577.62000000,1526788799999,817425.55990610,2251
1526788800000,0.24139000,0.24295000,0.24010000,0.24167000,2281958.81000000,1526803199999,551407.17459760,1684
1526803200000,0.24166000,0.24781000,0.24001000,0.24600000,7129759.44000000,1526817599999,1745517.63779930,4074
1526817600000,0.24599000,0.24779000,0.24277000,0.24682000,5790794.91000000,1526831999999,1420874.14623730,4420
