,t,v
0,1230940800,0
1,1231027200,0
2,1231113600,0
3,1231200000,0
4,1231286400,0
5,1231372800,0
6,1231459200,0
7,1231545600,0
8,1231632000,0
9,1231718400,8
10,1231804800,0
11,1231891200,4
12,1231977600,14
13,1232064000,6
14,1232150400,0
15,1232236800,4
16,1232323200,18
17,1232409600,9
18,1232496000,3
19,1232582400,11
20,1232668800,11
21,1232755200,11
22,1232841600,2
23,1232928000,21
24,1233014400,4
25,1233100800,0
26,1233187200,13
27,1233273600,0
28,1233360000,21
29,1233446400,3
30,1233532800,2
31,1233619200,15
32,1233705600,0
33,1233792000,0
34,1233878400,0
35,1233964800,27
36,1234051200,2
37,1234137600,45
38,1234224000,0
39,1234310400,16
40,1234396800,0
41,1234483200,0
42,1234569600,0
43,1234656000,14
44,1234742400,31
45,1234828800,0
46,1234915200,0
47,1235001600,17
48,1235088000,0
49,1235174400,0
50,1235260800,12
51,1235347200,0
52,1235433600,0
53,1235520000,0
54,1235606400,0
55,1235692800,37
56,1235779200,8
57,1235865600,0
58,1235952000,0
59,1236038400,9
60,1236124800,26
61,1236211200,9
62,1236297600,0
63,1236384000,0
64,1236470400,27
65,1236556800,0
66,1236643200,0
67,1236729600,0
68,1236816000,4
69,1236902400,14
70,1236988800,0
71,1237075200,0
72,1237161600,49
73,1237248000,0
74,1237334400,15
75,1237420800,0
76,1237507200,13
77,1237593600,0
78,1237680000,12
79,1237766400,0
80,1237852800,0
81,1237939200,0
82,1238025600,29
83,1238112000,0
84,1238198400,21
85,1238284800,0
86,1238371200,0
87,1238457600,33
88,1238544000,0
89,1238630400,0
90,1238716800,0
91,1238803200,0
92,1238889600,18
93,1238976000,0
94,1239062400,0
95,1239148800,0
96,1239235200,0
97,1239321600,0
98,1239408000,8
99,1239494400,9
100,1239580800,2
101,1239667200,0
102,1239753600,0
103,1239840000,0
104,1239926400,0
105,1240012800,5
106,1240099200,9
107,1240185600,117
108,1240272000,2
109,1240358400,0
110,1240444800,0
111,1240531200,0
112,1240617600,0
113,1240704000,16
114,1240790400,0
115,1240876800,0
116,1240963200,21
117,1241049600,0
118,1241136000,0
119,1241222400,16
120,1241308800,4
121,1241395200,31
122,1241481600,11
123,1241568000,0
124,1241654400,0
125,1241740800,0
126,1241827200,0
127,1241913600,0
128,1242000000,3
129,1242086400,0
130,1242172800,6
131,1242259200,6
132,1242345600,11
133,1242432000,0
134,1242518400,0
135,1242604800,0
136,1242691200,0
137,1242777600,0
138,1242864000,0
139,1242950400,0
140,1243036800,0
141,1243123200,0
142,1243209600,0
143,1243296000,0
144,1243382400,0
145,1243468800,0
146,1243555200,61
147,1243641600,0
