Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades
1502942400000,301.13000000,307.96000000,298.00000000,307.96000000,1561.95305000,1502956799999,473487.66511850,711
1502956800000,307.95000000,312.00000000,307.00000000,308.95000000,1177.71088000,1502971199999,364545.31640150,775
1502971200000,308.95000000,310.51000000,303.56000000,307.06000000,1882.05267000,1502985599999,578644.93189040,1140
1502985600000,307.74000000,312.18000000,298.21000000,301.60000000,1208.05192000,1502999999999,370209.05146720,957
1503000000000,301.60000000,310.85000000,299.01000000,302.00000000,1200.94182000,1503014399999,367768.33547900,939
1503014400000,302.00000000,306.47000000,295.19000000,301.40000000,1690.58319000,1503028799999,510684.06592180,959
1503028800000,301.40000000,309.49000000,298.41000000,306.24000000,1732.52616000,1503043199999,527110.60808950,1068
1503043200000,306.24000000,311.79000000,303.22000000,307.78000000,1213.01283000,1503057599999,372912.00099060,884
1503057600000,307.78000000,310.29000000,296.32000000,298.80000000,1358.99471000,1503071999999,412203.70889430,882
1503072000000,298.80000000,301.11000000,287.37000000,293.83000000,1620.71499000,1503086399999,478865.91143070,885
1503086400000,295.46000000,295.46000000,283.94000000,293.96000000,1922.01458000,1503100799999,557170.21402700,980
1503100800000,293.31000000,299.84000000,292.83000000,293.22000000,282.19297000,1503115199999,83456.34233270,338
1503115200000,294.69000000,299.90000000,287.01000000,290.16000000,235.29210000,1503129599999,68687.59578740,235
1503129600000,290.16000000,293.17000000,278.00000000,282.58000000,1139.03045000,1503143999999,327267.74318530,686
1503144000000,281.39000000,290.85000000,279.56000000,288.64000000,288.29994000,1503158399999,82074.26294310,268
1503158400000,288.64000000,295.00000000,284.16000000,293.31000000,127.38589000,1503172799999,36930.94986450,166
1503172800000,290.60000000,294.90000000,288.80000000,290.91000000,73.99638000,1503187199999,21605.69574870,102
1503187200000,289.41000000,292.42000000,285.96000000,292.41000000,68.40092000,1503201599999,19769.48056760,93
1503201600000,287.97000000,295.56000000,285.39000000,292.08000000,252.26228000,1503215999999,73526.16048940,374
1503216000000,293.02000000,296.89000000,282.85000000,295.00000000,240.75968000,1503230399999,70008.93568210,243
1503230400000,295.00000000,296.92000000,292.28000000,295.10000000,67.36470000,1503244799999,19883.37498910,106
1503244800000,295.10000000,300.53000000,293.28000000,297.88000000,361.56695000,1503259199999,107254.73692960,337
1503259200000,297.87000000,300.53000000,294.51000000,299.10000000,1519.78418000,1503273599999,452405.20590210,885
1503273600000,299.10000000,300.90000000,294.60000000,299.85000000,723.80595000,1503287999999,215847.27315840,649
1503288000000,300.03000000,329.49000000,299.11000000,318.50000000,888.57113000,1503302399999,276314.85936110,915
1503302400000,317.48000000,333.66000000,312.60000000,331.53000000,207.37686000,1503316799999,66440.85038750,360
1503316800000,331.33000000,346.52000000,325.42000000,334.94000000,1227.44025000,1503331199999,412065.43975100,801
1503331200000,334.34000000,342.72000000,316.82000000,329.71000000,1715.07272000,1503345599999,569920.29271210,797
1503345600000,332.27000000,332.74000000,316.12000000,323.29000000,457.17851000,1503359999999,148883.62584390,403
1503360000000,321.04000000,330.41000000,280.00000000,280.00000000,809.61524000,1503374399999,257673.96344690,722
1503374400000,144.21000000,310.24000000,144.21000000,300.35000000,707.47249000,1503388799999,210310.12050760,776
1503388800000,300.35000000,313.16000000,296.00000000,308.03000000,2176.12505000,1503403199999,666105.69867150,1482
1503403200000,311.16000000,311.24000000,301.48000000,308.39000000,1756.83060000,1503417599999,540204.59041870,1612
1503417600000,305.08000000,320.76000000,305.08000000,307.03000000,1304.25110000,1503431999999,408170.11908350,1071
1503432000000,307.03000000,313.99000000,305.08000000,309.80000000,1202.05640000,1503446399999,371961.31118550,914
1503446400000,312.25000000,319.78000000,309.41000000,317.26000000,1088.33347000,1503460799999,341746.62204160,979
1503460800000,315.45000000,324.99000000,315.35000000,319.06000000,1376.06321000,1503475199999,440244.79443790,1114
1503475200000,319.06000000,324.51000000,318.02000000,319.20000000,1285.87403000,1503489599999,412512.51833670,1066
1503489600000,319.20000000,322.00000000,313.75000000,319.20000000,2106.38559000,1503503999999,667166.26924830,2560
1503504000000,317.87000000,322.34000000,315.53000000,318.57000000,1635.49673000,1503518399999,520572.10072190,1921
1503518400000,318.57000000,320.20000000,312.05000000,315.74000000,1173.57266000,1503532799999,371222.64025440,900
1503532800000,315.74000000,318.45000000,314.01000000,315.22000000,1061.17398000,1503547199999,335440.93323820,909
1503547200000,315.22000000,322.36000000,314.31000000,318.54000000,1074.07592000,1503561599999,341646.93279020,898
1503561600000,318.54000000,323.61000000,316.14000000,323.61000000,1670.50319000,1503575999999,532991.57092060,1657
1503576000000,322.51000000,328.04000000,317.90000000,321.20000000,1138.04846000,1503590399999,366358.37708510,1325
