time,open,high,low,close,Volume,Volume MA
1488150000,5340,5351,5337.25,5347.75,7581,NaN
1488164400,5347.75,5352.5,5342.25,5345.25,4358,NaN
1488178800,5345,5350.5,5334.5,5336.75,9734,NaN
1488193200,5336.5,5340.25,5323.25,5336,33462,NaN
1488207600,5335.75,5342.25,5326.25,5341.75,63719,NaN
1488222000,5341.75,5349,5339.5,5343.75,34782,NaN
1488236400,5345,5347.75,5342.75,5344.5,3412,NaN
1488250800,5344.75,5349.5,5341.5,5342,3160,NaN
1488265200,5342.25,5347.25,5340.75,5344.25,6321,NaN
1488279600,5344.5,5350,5338.5,5340.75,29105,NaN
1488294000,5340.75,5345.25,5317,5333.75,73787,NaN
1488308400,5333.5,5336.5,5322.25,5336.5,51718,NaN
1488322800,5334.5,5350.25,5332,5336.75,17177,NaN
1488337200,5336.5,5342.5,5334.25,5337,5198,NaN
1488351600,5337,5366.5,5336.25,5364.5,15911,NaN
1488366000,5364.5,5369.5,5355,5362,50100,NaN
1488380400,5362.25,5394.75,5362.25,5389.75,90664,NaN
1488394800,5389.5,5400,5384.75,5385.5,57864,NaN
1488409200,5382.75,5389,5380.75,5382,4448,NaN
1488423600,5382,5389,5379.5,5388.75,3239,28287
1488438000,5388.5,5388.5,5380.5,5385.75,8587,28337.3
1488452400,5385.75,5393.75,5378,5386,37883,30013.55
1488466800,5386.25,5387,5364.25,5369,84071,33730.4
1488481200,5369.25,5374,5356.25,5360.75,62680,35191.3
1488495600,5358.75,5361.25,5355.5,5356.5,3889,32199.8
1488510000,5356.5,5358,5345.25,5350.75,6098,30765.6
1488524400,5350.75,5357,5347.25,5356.5,9954,31092.7
1488538800,5356.5,5364.5,5352.25,5357.5,32651,32567.25
1488553200,5357.75,5369.25,5344.25,5365,80105,36256.45
1488567600,5365.25,5373.5,5362.25,5372.75,41784,36890.4
1488754800,5369,5374.5,5347.25,5355.5,8596,33630.85
1488769200,5356,5359.25,5354.75,5358.75,2999,31194.9
1488783600,5358.5,5363.75,5346.25,5360.75,12641,30968.1
1488798000,5360.75,5364.25,5345,5352,32013,32308.85
1488812400,5352,5365,5339,5361.25,72583,35142.45
1488826800,5361.25,5369,5352.75,5352.75,33846,34329.75
1488841200,5354.75,5362.75,5353,5359.75,3369,29965
1488855600,5359.5,5364.5,5358.75,5363.5,2007,27172.15
1488870000,5363.5,5363.5,5352.25,5352.5,7751,27337.3
1488884400,5352.5,5357,5344,5352,35692,28959.95
1488898800,5351.75,5374.25,5347.5,5355,83591,32710.15
1488913200,5355,5360.75,5341.5,5350.5,43196,32975.8
1488927600,5350,5350,5333.75,5342.5,8170,29180.75
1488942000,5342.75,5345.25,5338,5344.5,5003,26296.9
1488956400,5343.75,5353.75,5341.25,5352.25,9544,26579.65
1488970800,5352.25,5369,5343.25,5368.25,43765,28463
1488985200,5368.25,5377.25,5354.75,5370.25,92695,32600.05
1488999600,5370.5,5372.75,5352.5,5363.25,58516,33893.3
1489014000,5362.25,5366.25,5357.75,5359.75,4250,30100.55
1489028400,5359.5,5363.75,5358.5,5362,2484,28135.55
1489042800,5362,5366.25,5357.5,5357.75,8880,28149.75
1489057200,5357.75,5367,5347.25,5363.5,51832,30591.4
1489071600,5363.5,5372,5353.5,5354.25,80050,33961.85
1489086000,5354.25,5371.25,5335.5,5371.25,77043,36213.35
1489100400,5372.75,5384.25,5369.5,5382.5,4820,32825.2
1489114800,5382.25,5386.75,5381.75,5385.5,2851,31275.45
1489129200,5385.25,5391.25,5382.5,5388.25,6075,31410.75
1489143600,5388.25,5398.5,5382.25,5396.25,52125,33916.65
1489158000,5396.5,5399,5366.75,5378.5,88907,37974.45
1489172400,5378.5,5390,5377,5387,34345,37907.1
1489356000,5386.5,5387.25,5376,5379.5,4215,33938.3
1489370400,5379.5,5384.5,5379.5,5384,1803,31868.65
1489384800,5384,5388,5380.5,5382.75,5041,31712.2
1489399200,5382.5,5396,5380.75,5389.5,27831,32853.6
1489413600,5389.5,5395.5,5385.25,5392.75,58525,35302.65
1489428000,5392.75,5400,5391.25,5399.5,26229,34425.85
1489442400,5399.25,5400.5,5395.5,5397,2343,29908.25
1489456800,5397,5399.25,5395.75,5398.25,1758,27070.35
1489471200,5398,5400,5390,5395.5,8007,27258.2
1489485600,5395.25,5396,5374.5,5380,40616,29164.8
1489500000,5380,5384,5363.5,5380.75,90185,33230.05
1489514400,5380.75,5387.75,5377.25,5386,34651,32371
1489528800,5386.5,5387.5,5383.75,5386,2986,28517.8
1489543200,5386.25,5393.25,5384.75,5392.25,2678,24799.55
1489557600,5392.25,5399,5391,5395,7420,24929.55
1489572000,5395,5398.75,5384.5,5387.75,28049,26189.45
1489586400,5387.5,5402.25,5380,5395.75,59307,28851.05
1489600800,5395.75,5431.5,5395.25,5417.25,112434,31866.5
1489615200,5417,5429.5,5415,5428.25,5295,27685.9
1489629600,5428.25,5431.25,5426.25,5430.5,3389,26138.1
1489644000,5430.25,5440,5429.75,5436,11642,26509.45
1489658400,5435.75,5436.5,5418.75,5421.75,39097,28374.15
1489672800,5421.75,5424.75,5402.25,5410.5,76857,31964.95
1489687200,5410.25,5418.5,5403.25,5416,37820,32464.4
1489701600,5415.75,5417.75,5412.75,5415.75,2410,29658.65
1489716000,5415.75,5417.75,5414.25,5415,2456,28470
1489730400,5415,5418,5411,5417.5,6377,28671.7
1489744800,5417.5,5424.5,5411.75,5415.75,39467,30557.15
1489759200,5415.75,5422.75,5408.25,5420.5,48043,32558.95
1489773600,5420.5,5425.25,5406.5,5409.25,42198,32638.05
1489960800,5407.25,5409,5396,5397.5,5348,28396.2
1489975200,5397.5,5401.5,5396,5401,3076,26817.45
1489989600,5401,5408.25,5400.75,5403.75,5512,26943.75
1490004000,5403.75,5414.75,5402.25,5412.5,26028,28111.25
1490018400,5412.5,5428,5404.5,5409,63681,30924.3
1490032800,5408.75,5419.5,5401.5,5417,40996,31571.65
1490047200,5415.75,5431.5,5413.5,5430.5,5500,28881.3
1490061600,5430.5,5434.75,5427.5,5428.25,4095,23464.35
1490076000,5428,5434.25,5427,5429.5,7500,23574.6
1490090400,5429.25,5441,5428,5436.5,31128,24961.55
1490104800,5436.5,5436.5,5337.5,5339,247231,36741
1490119200,5338.75,5359.75,5330,5335,118253,40698.8
1490133600,5334.25,5337,5321.75,5324.5,9839,37347.9
1490148000,5324.25,5327.25,5315,5321.75,9680,35940.9
1490162400,5322.25,5335,5317.75,5333,18106,36725.7
1490176800,5332.75,5353.5,5329.75,5337.25,62318,39718.8
1490191200,5337.25,5371.25,5328.25,5352.75,167273,47763.6
1490205600,5352.5,5376.25,5352.5,5365,67245,49152.5
1490220000,5365.5,5378.5,5364.75,5376,5668,47033.75
1490234400,5376,5378,5372.25,5373.25,2372,45042.45
1490248800,5373.75,5373.75,5361.75,5366,6915,45120.8
1490263200,5365.75,5374.75,5351.25,5356.75,54351,47684.55
1490277600,5356.5,5377.5,5348.5,5363,126714,53744.65
1490292000,5363.25,5374.5,5347.25,5357.5,73740,56130.25
1490306400,5357,5374.5,5356.25,5369,7011,53296.75
1490320800,5369,5371.75,5365.5,5369.25,2290,51361.45
1490335200,5369.5,5371.5,5363,5365.75,6458,51409.35
1490349600,5365.5,5392.75,5360.25,5387.25,43025,53355.85
1490364000,5387.25,5395,5370.25,5372.25,106033,58282.5
1490378400,5372,5382.5,5347.5,5373,127915,63121.85
1490565600,5360,5360.25,5332.5,5340.25,14103,51465.45
1490580000,5340,5342.25,5335,5338.75,3696,45737.6
1490594400,5338.75,5340,5318,5335,16979,46094.6
1490608800,5334.75,5342.25,5317.25,5338.75,65561,48888.65
1490623200,5338.5,5385.25,5334.25,5373.75,120135,53990.1
1490637600,5373.75,5385.75,5369.25,5382.75,55912,53669.8
1490652000,5382.5,5389.75,5382,5386.25,5333,45572.8
1490666400,5386.25,5392.25,5386,5391.25,3263,42373.7
1490680800,5391,5393,5383.25,5386.75,7357,42458.15
1490695200,5386.5,5388,5363.5,5368.75,43313,44505.2
1490709600,5369,5415.75,5365,5415,117288,50023.85
1490724000,5415.25,5424.75,5404.25,5407.25,67472,50679.9
1490738400,5409,5414,5406,5409.75,4314,44559.9
1490752800,5410,5414.75,5408.25,5414,2815,41013.65
1490767200,5414,5418.75,5405.25,5409,7878,41057
1490781600,5408.5,5421.5,5404.75,5421.5,34727,42678.85
1490796000,5421.5,5428,5412.25,5427.5,77978,46254.85
